YEAR,WHOLE_POUNDS
1907,74603.1746
1908,41269.84127
1909,69841.26984
1910,182539.6825
1911,177777.7778
1912,26984.12698
1913,88888.88889
1914,141269.8413
1915,241269.8413
1916,528571.4286
1917,1674603.175
1918,2152380.952
1919,807936.5079
1920,928571.4286
1921,623809.5238
1922,77777.77778
1923,1349206.349
1924,360317.4603
1925,1703174.603
1926,1090476.19
1927,2160317.46
1928,425396.8254
1929,750793.6508
1930,717460.3175
1931,442857.1429
1932,134000
1933,163492.0635
1934,291036
1935,707192
1936,1004598
1937,2151648
1938,863010
1939,1774440
1940,2371540
1941,2902623
1942,6498400
1943,5236120
1944,4815020
1945,4392626
1946,3373106
1947,6545396
1948,1452176
1949,1478778
1950,436435
1951,1767760
1952,1082400
1953,2802130
1954,1659728
1955,1616933
1956,1517951
1957,1774148
1958,801338
1959,1182589
1960,2327598.413
1961,1090555.556
1962,836031.746
1963,703715.873
1964,705061.9048
1965,1951077.778
1966,1094496.825
1967,757014.2857
1968,375080.9524
1969,548811.1111
1970,668800
1971,499173.0159
1972,1728809.524
1973,1552373.016
1974,1294811.111
1975,1562188.889
1976,1540179.365
1977,887350.7937
1978,1251623.81
1979,1889952.381
1980,1373204.762
1981,1060139.683
1982,1240428.571
1983,1851539.683
1984,1782290.476
1985,2951056
1986,3874269
1987,3861546
1988,4206509
1989,3767518
1990,3281393
1991,3955189
1992,4267781
1993,5795974
1994,4713552
1995,4542348
1996,4673701
1997,4753394
1998,4686575.653
1999,3043270.905
2000,3082158.731
